index,u_grid,u_geom,t_progress,t_eval_used_for_tracks,x,y,width_eval,height_eval,theta_eval,theta_internal,theta_raw,tangent_angle,effective_theta,offset_eval,alpha_eval
0,0.000000,0.000000,0.000000,0.000000,135.300000,0.000000,195.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,-2.700000,0.000000
1,0.003289,0.003289,0.003290,0.003290,135.471078,1.989849,195.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,-2.528922,0.000000
2,0.006579,0.006579,0.006580,0.006580,135.642156,3.979697,195.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,-2.357844,0.000000
3,0.009868,0.009868,0.009870,0.009870,135.813235,5.969546,195.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,-2.186765,0.000000
4,0.013158,0.013158,0.013160,0.013160,135.984313,7.959395,180.301900,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,-2.015687,0.000000
5,0.016447,0.016447,0.016450,0.016450,136.155391,9.949243,166.355598,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,-1.844609,0.000000
6,0.019737,0.019737,0.019740,0.019740,136.326469,11.939092,153.716716,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,-1.673531,0.000000
7,0.023026,0.023026,0.023030,0.023030,136.497547,13.928940,142.308806,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,-1.502453,0.000000
8,0.026316,0.026316,0.026320,0.026320,136.668626,15.918789,132.056971,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,-1.331374,0.000000
9,0.029605,0.029605,0.029610,0.029610,136.839704,17.908638,122.887897,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,-1.160296,0.000000
10,0.032895,0.032895,0.032900,0.032900,137.010782,19.898486,114.729892,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,-0.989218,0.000000
11,0.036184,0.036184,0.036190,0.036190,137.181860,21.888335,107.512919,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,-0.818140,0.000000
12,0.039474,0.039474,0.039480,0.039480,137.352939,23.878184,101.168638,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,-0.647061,0.000000
13,0.042763,0.042763,0.042770,0.042770,137.524017,25.868032,95.630450,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,-0.475983,0.000000
14,0.046053,0.046053,0.046060,0.046060,137.695095,27.857881,90.833542,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,-0.304905,0.000000
15,0.049342,0.049342,0.049349,0.049349,137.866173,29.847729,86.714939,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,-0.133827,0.000000
16,0.052632,0.052632,0.052639,0.052639,138.037251,31.837578,83.213560,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.037251,0.000000
17,0.055921,0.055921,0.055929,0.055929,138.208330,33.827427,80.270275,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.208330,0.000000
18,0.059211,0.059211,0.059219,0.059219,138.379408,35.817275,77.827978,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.379408,0.000000
19,0.062500,0.062500,0.062509,0.062509,138.550486,37.807124,75.831655,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.550486,0.000000
20,0.065789,0.065789,0.065799,0.065799,138.721564,39.796973,74.228469,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.721564,0.000000
21,0.069079,0.069079,0.069089,0.069089,138.892642,41.786821,72.967859,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.892642,0.000000
22,0.072368,0.072368,0.072379,0.072379,139.063721,43.776670,72.001639,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.063721,0.000000
23,0.075658,0.075658,0.075669,0.075669,139.234799,45.766518,71.284127,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.234799,0.000000
24,0.078947,0.078947,0.078959,0.078959,139.405877,47.756367,70.772291,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.405877,0.000000
25,0.082237,0.082237,0.082249,0.082249,139.576955,49.746216,70.425921,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.576955,0.000000
26,0.085526,0.085526,0.085539,0.085539,139.748033,51.736064,70.207847,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.748033,0.000000
27,0.088816,0.088816,0.088829,0.088829,139.919112,53.725913,70.084212,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.919112,0.000000
28,0.092105,0.092105,0.092119,0.092119,140.090190,55.715762,70.024836,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.090190,0.000000
29,0.095395,0.095395,0.095409,0.095409,140.261268,57.705610,70.003747,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.261268,0.000000
30,0.098684,0.098684,0.098699,0.098699,140.432346,59.695459,70.000045,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.432346,0.000000
31,0.101974,0.101974,0.101989,0.101989,140.490055,61.685307,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.490055,0.000000
32,0.105263,0.105263,0.105279,0.105279,140.473606,63.675156,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.473606,0.000000
33,0.108553,0.108553,0.108569,0.108569,140.457156,65.665005,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.457156,0.000000
34,0.111842,0.111842,0.111859,0.111859,140.440706,67.654853,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.440706,0.000000
35,0.115132,0.115132,0.115149,0.115149,140.424256,69.644702,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.424256,0.000000
36,0.118421,0.118421,0.118439,0.118439,140.407806,71.634551,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.407806,0.000000
37,0.121711,0.121711,0.121729,0.121729,140.391356,73.624399,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.391356,0.000000
38,0.125000,0.125000,0.125019,0.125019,140.374907,75.614248,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.374907,0.000000
39,0.128289,0.128289,0.128309,0.128309,140.358457,77.604096,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.358457,0.000000
40,0.131579,0.131579,0.131599,0.131599,140.342007,79.593945,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.342007,0.000000
41,0.134868,0.134868,0.134889,0.134889,140.325557,81.583794,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.325557,0.000000
42,0.138158,0.138158,0.138179,0.138179,140.309107,83.573642,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.309107,0.000000
43,0.141447,0.141447,0.141469,0.141469,140.292657,85.563491,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.292657,0.000000
44,0.144737,0.144737,0.144758,0.144758,140.276208,87.553340,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.276208,0.000000
45,0.148026,0.148026,0.148048,0.148048,140.259758,89.543188,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.259758,0.000000
46,0.151316,0.151316,0.151338,0.151338,140.243308,91.533037,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.243308,0.000000
47,0.154605,0.154605,0.154628,0.154628,140.226858,93.522885,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.226858,0.000000
48,0.157895,0.157895,0.157918,0.157918,140.210408,95.512734,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.210408,0.000000
49,0.161184,0.161184,0.161208,0.161208,140.193958,97.502583,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.193958,0.000000
50,0.164474,0.164474,0.164498,0.164498,140.177509,99.492431,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.177509,0.000000
51,0.167763,0.167763,0.167788,0.167788,140.161059,101.482280,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.161059,0.000000
52,0.171053,0.171053,0.171078,0.171078,140.144609,103.472129,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.144609,0.000000
53,0.174342,0.174342,0.174368,0.174368,140.128159,105.461977,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.128159,0.000000
54,0.177632,0.177632,0.177658,0.177658,140.111709,107.451826,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.111709,0.000000
55,0.180921,0.180921,0.180948,0.180948,140.095259,109.441674,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.095259,0.000000
56,0.184211,0.184211,0.184238,0.184238,140.078810,111.431523,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.078810,0.000000
57,0.187500,0.187500,0.187528,0.187528,140.062360,113.421372,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.062360,0.000000
58,0.190789,0.190789,0.190818,0.190818,140.045910,115.411220,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.045910,0.000000
59,0.194079,0.194079,0.194108,0.194108,140.029460,117.401069,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.029460,0.000000
60,0.197368,0.197368,0.197398,0.197398,140.013010,119.390918,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,2.013010,0.000000
61,0.200658,0.200658,0.200688,0.200688,139.996560,121.380766,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.996560,0.000000
62,0.203947,0.203947,0.203978,0.203978,139.980111,123.370615,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.980111,0.000000
63,0.207237,0.207237,0.207268,0.207268,139.963661,125.360463,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.963661,0.000000
64,0.210526,0.210526,0.210558,0.210558,139.947211,127.350312,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.947211,0.000000
65,0.213816,0.213816,0.213848,0.213848,139.930761,129.340161,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.930761,0.000000
66,0.217105,0.217105,0.217138,0.217138,139.914311,131.330009,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.914311,0.000000
67,0.220395,0.220395,0.220428,0.220428,139.897862,133.319858,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.897862,0.000000
68,0.223684,0.223684,0.223718,0.223718,139.881412,135.309707,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.881412,0.000000
69,0.226974,0.226974,0.227008,0.227008,139.864962,137.299555,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.864962,0.000000
70,0.230263,0.230263,0.230298,0.230298,139.848512,139.289404,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.848512,0.000000
71,0.233553,0.233553,0.233588,0.233588,139.832062,141.279252,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.832062,0.000000
72,0.236842,0.236842,0.236878,0.236878,139.815612,143.269101,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.815612,0.000000
73,0.240132,0.240132,0.240167,0.240167,139.799163,145.258950,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.799163,0.000000
74,0.243421,0.243421,0.243457,0.243457,139.782713,147.248798,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.782713,0.000000
75,0.246711,0.246711,0.246747,0.246747,139.766263,149.238647,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.766263,0.000000
76,0.250000,0.250000,0.250037,0.250037,139.749813,151.228496,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.749813,0.000000
77,0.253289,0.253289,0.253327,0.253327,139.733363,153.218344,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.733363,0.000000
78,0.256579,0.256579,0.256617,0.256617,139.716913,155.208193,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.716913,0.000000
79,0.259868,0.259868,0.259907,0.259907,139.700464,157.198041,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.700464,0.000000
80,0.263158,0.263158,0.263197,0.263197,139.684014,159.187890,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.684014,0.000000
81,0.266447,0.266447,0.266487,0.266487,139.667564,161.177739,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.667564,0.000000
82,0.269737,0.269737,0.269777,0.269777,139.651114,163.167587,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.651114,0.000000
83,0.273026,0.273026,0.273067,0.273067,139.634664,165.157436,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.634664,0.000000
84,0.276316,0.276316,0.276357,0.276357,139.618214,167.147285,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.618214,0.000000
85,0.279605,0.279605,0.279647,0.279647,139.601765,169.137133,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.601765,0.000000
86,0.282895,0.282895,0.282937,0.282937,139.585315,171.126982,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.585315,0.000000
87,0.286184,0.286184,0.286227,0.286227,139.568865,173.116830,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.568865,0.000000
88,0.289474,0.289474,0.289517,0.289517,139.552415,175.106679,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.552415,0.000000
89,0.292763,0.292763,0.292807,0.292807,139.535965,177.096528,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.535965,0.000000
90,0.296053,0.296053,0.296097,0.296097,139.519515,179.086376,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.519515,0.000000
91,0.299342,0.299342,0.299387,0.299387,139.503066,181.076225,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.503066,0.000000
92,0.302632,0.302632,0.302677,0.302677,139.486616,183.066074,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.486616,0.000000
93,0.305921,0.305921,0.305967,0.305967,139.470166,185.055922,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.470166,0.000000
94,0.309211,0.309211,0.309257,0.309257,139.453716,187.045771,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.453716,0.000000
95,0.312500,0.312500,0.312547,0.312547,139.437266,189.035619,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.437266,0.000000
96,0.315789,0.315789,0.315837,0.315837,139.420817,191.025468,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.420817,0.000000
97,0.319079,0.319079,0.319127,0.319127,139.404367,193.015317,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.404367,0.000000
98,0.322368,0.322368,0.322417,0.322417,139.387917,195.005165,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.387917,0.000000
99,0.325658,0.325658,0.325707,0.325707,139.371467,196.995014,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.371467,0.000000
100,0.328947,0.328947,0.328997,0.328997,139.355017,198.984863,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.355017,0.000000
101,0.332237,0.332237,0.332287,0.332287,139.338567,200.974711,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.338567,0.000000
102,0.335526,0.335526,0.335576,0.335576,139.322118,202.964560,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.322118,0.000000
103,0.338816,0.338816,0.338866,0.338866,139.305668,204.954408,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.305668,0.000000
104,0.342105,0.342105,0.342156,0.342156,139.289218,206.944257,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.289218,0.000000
105,0.345395,0.345395,0.345446,0.345446,139.272768,208.934106,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.272768,0.000000
106,0.348684,0.348684,0.348736,0.348736,139.256318,210.923954,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.256318,0.000000
107,0.351974,0.351974,0.352026,0.352026,139.239868,212.913803,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.239868,0.000000
108,0.355263,0.355263,0.355316,0.355316,139.223419,214.903652,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.223419,0.000000
109,0.358553,0.358553,0.358606,0.358606,139.206969,216.893500,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.206969,0.000000
110,0.361842,0.361842,0.361896,0.361896,139.190519,218.883349,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.190519,0.000000
111,0.365132,0.365132,0.365186,0.365186,139.174069,220.873197,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.174069,0.000000
112,0.368421,0.368421,0.368476,0.368476,139.157619,222.863046,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.157619,0.000000
113,0.371711,0.371711,0.371766,0.371766,139.141169,224.852895,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.141169,0.000000
114,0.375000,0.375000,0.375056,0.375056,139.124720,226.842743,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.124720,0.000000
115,0.378289,0.378289,0.378346,0.378346,139.108270,228.832592,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.108270,0.000000
116,0.381579,0.381579,0.381636,0.381636,139.091820,230.822441,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.091820,0.000000
117,0.384868,0.384868,0.384926,0.384926,139.075370,232.812289,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.075370,0.000000
118,0.388158,0.388158,0.388216,0.388216,139.058920,234.802138,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,1.058920,0.000000
